timestamp,ytrue,yhat
2019-01-01,26619.32016539989,27067.824
2019-01-02,25382.654001442446,25455.666
2019-01-03,25427.46129495749,25813.1
2019-01-04,25936.46273340925,25716.008
2019-01-05,22417.040980300397,24388.088
2019-01-06,24167.300682657657,24128.426
2019-01-07,21460.997594313085,25631.512
2019-01-08,21514.778523157005,22105.176
2019-01-09,20113.57196241097,21576.902
2019-01-10,20745.15844234161,22106.145
2019-01-11,19955.45868176021,22366.746
2019-01-12,22192.98983767387,21062.785
2019-01-13,19365.921296471817,20952.572
2019-01-14,21356.7824034655,22003.398
2019-01-15,20786.85770676348,20893.11
2019-01-16,18167.57522845464,20158.281
2019-01-17,20964.42401375079,20605.277
2019-01-18,19901.739643273788,20717.188
2019-01-19,18778.639923182425,19547.55
2019-01-20,18055.327151556183,19288.834
2019-01-21,21961.03351851168,20336.121
2019-01-22,16519.991365141486,20585.865
2019-01-23,17470.221204185767,19702.504
2019-01-24,17460.707038635537,20603.555
2019-01-25,19380.32631886633,20619.938
2019-01-26,18147.922895861167,19319.854
2019-01-27,17820.802894020362,19003.445
2019-01-28,17826.711461563897,20616.383
2019-01-29,19563.051642407285,17842.062
2019-01-30,17182.400383365497,17113.115
2019-01-31,17130.14738347412,17887.955
2019-02-01,19742.34201432157,18149.777
2019-02-02,16185.684338230762,17360.102
2019-02-03,17586.94530873367,16758.996
2019-02-04,15842.443922122657,18076.834
2019-02-05,15354.492359967096,17030.238
2019-02-06,13602.314600002452,16481.133
2019-02-07,15091.378757210125,17236.463
2019-02-08,15666.301423873643,17592.193
2019-02-09,16240.698298308447,16835.477
2019-02-10,14344.964223328005,16436.43
2019-02-11,16600.151675919653,17170.535
2019-02-12,16180.917017948626,15900.008
2019-02-13,13378.137336784845,14741.268
2019-02-14,12323.400834540716,15673.385
2019-02-15,14505.212736820393,16194.318
2019-02-16,12481.877208312831,15251.482
2019-02-17,10407.861863525295,14752.737
2019-02-18,13400.366878137293,15942.572
2019-02-19,13390.008256697198,13309.21
2019-02-20,11985.182275138894,12595.838
2019-02-21,12165.158381500103,13213.05
2019-02-22,14558.624590778349,13744.475
2019-02-23,13537.020373584195,12663.37
2019-02-24,13669.663713457436,12322.976
2019-02-25,12290.270990232752,13334.739
2019-02-26,12931.444416561044,13070.62
2019-02-27,10879.396327525772,12301.741
2019-02-28,14408.054754097364,12882.88
2019-03-01,15758.659982974155,13459.867
2019-03-02,18555.26459131256,12676.9795
2019-03-03,19925.196610213134,12273.84
2019-03-04,18591.556974856263,13011.848
2019-03-05,18390.88149755509,18155.842
2019-03-06,15689.746644024028,16802.932
2019-03-07,13833.09053512728,17186.012
2019-03-08,13516.056316134018,17920.033
2019-03-09,14703.6728826523,17102.143
2019-03-10,11599.69657225914,16787.506
2019-03-11,12237.012947142675,17309.455
2019-03-12,11880.968734033657,13091.435
2019-03-13,11257.81989626148,12120.988
2019-03-14,12564.722648991225,12589.453
2019-03-15,15918.851488214266,13359.898
2019-03-16,13350.84641331392,12555.325
2019-03-17,12277.082399014264,12038.43
2019-03-18,15368.434914056315,12851.435
2019-03-19,12503.743225318987,14196.844
2019-03-20,12944.891088739803,12926.712
2019-03-21,16033.079953288869,13648.175
2019-03-22,13765.350972049002,14467.617
2019-03-23,13011.45572676786,13160.16
2019-03-24,13738.818672824524,12820.26
2019-03-25,12226.34001505915,14230.389
2019-03-26,12134.884964215167,13001.134
2019-03-27,13377.62165708071,12328.276
2019-03-28,12510.988125918027,12998.143
2019-03-29,13614.624776542918,13494.904
2019-03-30,11798.136030693557,12610.261
2019-03-31,9174.80000026628,12361.615
2019-04-01,13065.911802839531,13162.943
2019-04-02,13505.032937598093,12765.192
2019-04-03,9651.443214740271,11951.341
2019-04-04,11526.784153014558,12647.006
2019-04-05,13590.57532880232,13259.613
2019-04-06,7542.09607592776,12226.356
2019-04-07,10055.477515967475,11526.709
2019-04-08,13040.67207889606,12700.191
2019-04-09,13643.93159508792,11789.855
2019-04-10,12335.783483047982,10861.224
2019-04-11,11827.029704990266,11530.735
2019-04-12,12455.444896280218,12298.603
2019-04-13,10763.276654352903,10626.512
2019-04-14,9915.616963162982,10323.128
2019-04-15,11785.813508826526,11965.645
2019-04-16,13243.295240944086,12078.709
2019-04-17,12378.54167035531,11452.703
2019-04-18,13512.9866509086,12006.577
2019-04-19,14710.6144242913,12536.785
2019-04-20,14023.86861167521,10653.395
2019-04-21,11034.268355805456,10226.3125
2019-04-22,14339.605366745363,11893.12
2019-04-23,14681.77773896827,13885.284
2019-04-24,9869.650138444862,12811.595
2019-04-25,9946.090728783887,13429.053
2019-04-26,14176.654065265837,13958.58
2019-04-27,10941.31017358716,12278.829
2019-04-28,9697.276244486262,11356.165
2019-04-29,13227.968201090342,13504.599
2019-04-30,13920.773979230364,12886.035
2019-05-01,11372.344442248475,11463.236
2019-05-02,13747.233037844577,12072.465
2019-05-03,10881.921892329,13133.423
2019-05-04,9093.68975224752,11158.172
2019-05-05,10672.260687866392,10300.183
2019-05-06,9214.527417146615,12633.344
2019-05-07,12716.869070747618,11337.826
2019-05-08,13398.182952365838,10686.635
2019-05-09,13704.04715941716,11521.617
2019-05-10,12329.019324484829,12037.365
2019-05-11,11190.977315437818,10198.811
2019-05-12,6708.078811619779,9703.527
2019-05-13,10972.943369569814,11340.768
2019-05-14,10351.417609030916,12015.654
2019-05-15,9781.377780208924,11266.792
2019-05-16,10724.179952989036,11838.092
2019-05-17,12736.177634753714,12310.344
2019-05-18,8976.12940307743,10278.544
2019-05-19,8606.826127469058,9595.807
2019-05-20,13755.516402161247,11666.786
2019-05-21,11927.278192001237,12379.249
2019-05-22,13459.207319531026,11102.389
2019-05-23,12180.913497229176,11923.736
2019-05-24,12005.760493790149,12524.042
2019-05-25,7431.250542826951,10045.232
2019-05-26,9631.717637675743,9309.904
2019-05-27,11318.789725576398,11685.7
2019-05-28,12873.74876601468,11616.28
2019-05-29,9737.607534508728,11127.154
2019-05-30,12354.007136276328,11751.536
2019-05-31,11220.73356946958,12170.769
2019-06-01,7256.804646678698,9512.266
2019-06-02,7869.894607449555,8730.559
2019-06-03,12212.843017363346,11334.426
2019-06-04,13276.9738176693,11546.898
2019-06-05,11443.101628052402,10756.518
2019-06-06,13890.289388837682,11627.34
2019-06-07,11135.070984677875,12016.173
2019-06-08,8705.698204784485,8701.52
2019-06-09,8379.630940630881,8377.713
2019-06-10,12760.62268373686,11465.33
2019-06-11,12515.241329068536,12487.671
2019-06-12,13307.80162224402,11430.521
2019-06-13,11227.327428162844,12163.188
2019-06-14,13758.563425826856,12079.29
2019-06-15,7928.194542905781,9088.484
2019-06-16,7785.808616963427,8605.586
2019-06-17,11809.650780567932,11808.254
2019-06-18,13798.059116158014,12195.656
2019-06-19,11234.481135601523,11640.533
2019-06-20,11665.755467604418,12002.52
2019-06-21,13455.245733927108,12054.455
2019-06-22,9568.602293608006,8609.953
2019-06-23,10020.545789733094,8157.5396
2019-06-24,13861.78289439011,11763.059
2019-06-25,16309.761656465273,13166.51
2019-06-26,9289.48471698756,11951.192
2019-06-27,12467.591262835562,12504.8545
2019-06-28,9128.082045610803,13120.501
2019-06-29,7245.924821323286,9282.833
2019-06-30,7619.481351455086,9070.957
2019-07-01,14050.74979011245,12964.638
2019-07-02,12805.342130313147,12989.16
2019-07-03,12392.122623451,11147.52
2019-07-04,12097.277709622023,11930.405
2019-07-05,9995.976487309048,12107.63
2019-07-06,9045.9174991316,8407.269
2019-07-07,6477.090254695323,8257.6
