timestamp,ytrue,yhat,q10,q90
2019-04-03,9651.443214740271,11758.838,9939.899,13950.082
2019-04-04,11526.784153014558,13263.993,11411.232,15304.613
2019-04-05,13590.57532880232,13532.733,11601.782,15632.334
2019-04-06,7542.09607592776,12836.34,10756.32,15185.875
2019-04-07,10055.477515967475,11445.128,9357.717,13884.413
2019-04-08,13040.67207889606,12959.786,11034.748,15066.171
2019-04-09,13643.93159508792,12066.703,10421.923,13776.747
2019-04-10,12335.783483047982,10940.344,9223.04,12695.61
2019-04-11,11827.029704990266,12686.054,11135.924,14317.375
2019-04-12,12455.444896280218,12179.622,10577.164,13981.212
2019-04-13,10763.276654352903,10976.212,9153.734,12823.085
2019-04-14,9915.616963162982,10914.982,9075.232,12807.409
2019-04-15,11785.813508826526,12225.411,10451.805,14122.601
2019-04-16,13243.295240944086,12022.281,10585.818,13672.841
2019-04-17,12378.54167035531,11214.248,9499.182,13088.119
2019-04-18,13512.9866509086,12203.837,10516.6,13948.075
2019-04-19,14710.6144242913,12435.435,10687.963,14263.482
2019-04-20,14023.86861167521,11232.08,9196.231,13330.781
2019-04-21,11034.268355805456,10746.949,8681.342,12929.14
2019-04-22,14339.605366745363,12414.317,10610.097,14279.253
2019-04-23,14681.77773896827,12825.283,11374.866,14278.777
2019-04-24,9869.650138444862,11263.972,9633.627,12840.251
2019-04-25,9946.090728783887,12646.353,10973.551,14221.078
2019-04-26,14176.654065265837,13143.287,11473.635,14730.161
2019-04-27,10941.31017358716,12068.112,10295.307,13795.236
2019-04-28,9697.276244486262,11560.604,9756.621,13429.182
2019-04-29,13227.968201090342,13057.935,11250.473,14750.559
2019-04-30,13920.773979230364,11922.444,10273.104,13603.722
2019-05-01,11372.344442248475,10918.153,9153.919,12733.07
2019-05-02,13747.233037844577,12369.687,10602.713,14022.05
2019-05-03,10881.921892329,12446.2705,10688.455,14131.963
2019-05-04,9093.68975224752,11212.201,9337.481,13057.718
2019-05-05,10672.260687866392,10835.158,8988.041,12664.271
2019-05-06,9214.527417146615,11690.992,9922.657,13457.151
2019-05-07,12716.869070747618,10765.028,8907.107,12692.965
2019-05-08,13398.182952365838,10693.344,8839.37,12607.656
2019-05-09,13704.04715941716,11949.978,10152.207,13651.533
2019-05-10,12329.019324484829,11936.956,10107.804,13712.433
2019-05-11,11190.977315437818,10807.668,8887.86,12679.252
2019-05-12,6708.078811619779,10264.011,8383.752,12073.027
2019-05-13,10972.943369569814,11470.533,9742.889,13151.865
2019-05-14,10351.417609030916,11969.315,10174.195,13708.111
2019-05-15,9781.377780208924,10670.929,8792.1,12448.246
2019-05-16,10724.179952989036,11757.457,9995.409,13440.246
2019-05-17,12736.177634753714,11976.078,10176.927,13733.103
2019-05-18,8976.12940307743,10417.84,8479.507,12291.533
2019-05-19,8606.826127469058,9170.393,7047.0923,11206.516
2019-05-20,13755.516402161247,11796.22,9915.006,13552.295
2019-05-21,11927.278192001237,11924.848,10078.653,13715.173
2019-05-22,13459.207319531026,11575.199,9666.287,13487.969
2019-05-23,12180.913497229176,12635.62,10690.413,14542.206
2019-05-24,12005.760493790149,11790.183,9732.602,13833.741
2019-05-25,7431.250542826951,9797.115,7648.128,12073.111
2019-05-26,9631.717637675743,9175.213,7032.3076,11423.71
2019-05-27,11318.789725576398,11484.169,9487.037,13471.433
2019-05-28,12873.74876601468,11655.42,10046.114,13223.48
2019-05-29,9737.607534508728,10795.943,9123.783,12453.77
2019-05-30,12354.007136276328,11601.006,9874.1,13251.362
2019-05-31,11220.73356946958,11913.045,10114.152,13616.028
2019-06-01,7256.804646678698,9303.918,7465.71,11343.228
2019-06-02,7869.894607449555,8786.287,6822.4316,10908.163
2019-06-03,12212.843017363346,11296.95,9352.727,13199.994
2019-06-04,13276.9738176693,11209.4,9385.236,12965.121
2019-06-05,11443.101628052402,10101.592,8227.9,11958.639
2019-06-06,13890.289388837682,11799.101,10022.426,13408.957
2019-06-07,11135.070984677875,11055.564,9208.996,12907.081
2019-06-08,8705.698204784485,9210.351,7328.68,11259.525
2019-06-09,8379.630940630881,8863.064,6939.587,10919.073
2019-06-10,12760.62268373686,11315.91,9472.252,13044.479
2019-06-11,12515.241329068536,11633.937,9897.718,13352.985
2019-06-12,13307.80162224402,10813.977,9052.855,12674.966
2019-06-13,11227.327428162844,12070.694,10343.628,13669.335
2019-06-14,13758.563425826856,11694.67,9941.596,13393.505
2019-06-15,7928.194542905781,9643.847,7972.5396,11520.59
2019-06-16,7785.808616963427,8863.307,7079.093,10796.159
2019-06-17,11809.650780567932,11767.819,9911.183,13473.776
2019-06-18,13798.059116158014,12041.376,10495.643,13544.442
2019-06-19,11234.481135601523,11566.228,9857.548,13161.074
2019-06-20,11665.755467604418,12141.64,10463.692,13650.916
2019-06-21,13455.245733927108,11870.249,10118.031,13497.906
2019-06-22,9568.602293608006,9375.322,7624.6577,11322.581
2019-06-23,10020.545789733094,8495.344,6582.7227,10341.594
2019-06-24,13861.78289439011,11271.997,9386.985,13030.342
2019-06-25,16309.761656465273,12972.173,11280.99,14515.103
2019-06-26,9289.48471698756,11937.561,10092.101,13678.302
2019-06-27,12467.591262835562,12508.326,10613.327,14180.307
2019-06-28,9128.082045610803,12228.818,10399.334,13951.682
2019-06-29,7245.924821323286,9263.138,7490.188,11236.944
2019-06-30,7619.481351455086,9210.142,7386.9766,11180.7705
2019-07-01,14050.74979011245,12032.557,10148.334,13820.818
2019-07-02,12805.342130313147,13235.071,11307.416,15119.986
2019-07-03,12392.122623451,11451.763,9459.442,13400.63
2019-07-04,12097.277709622023,12803.4,10786.694,14691.398
2019-07-05,9995.976487309048,11240.862,9229.799,13244.671
2019-07-06,9045.9174991316,8853.082,6977.434,10795.129
2019-07-07,6477.090254695323,8538.235,6611.1133,10418.308
2019-07-08,10220.090925673663,11965.635,9816.752,13998.798
2019-07-09,13549.076053441431,12105.905,10042.273,14023.338
2019-07-10,13199.386614549072,10947.544,8903.217,12982.365
2019-07-11,9679.205999435928,11595.05,9554.09,13584.831
2019-07-12,14378.31178487682,11596.2,9465.85,13667.473
2019-07-13,9320.47050700628,9061.207,7088.1465,11295.099
2019-07-14,10623.562557671929,8653.818,6607.4346,10815.4
2019-07-15,12323.226047299113,12064.518,9926.189,14010.879
2019-07-16,12185.490394575045,13084.728,11378.919,14764.5625
2019-07-17,12209.98748385375,10904.187,9042.44,12798.563
2019-07-18,14167.923302828634,11837.871,9883.015,13700.769
2019-07-19,11198.109335149942,12078.218,10129.92,13946.688
2019-07-20,8070.991175223711,8891.584,7053.045,10947.66
2019-07-21,8993.541679304944,8948.646,7028.435,10992.33
2019-07-22,11818.502203121208,12082.172,9963.008,14000.889
2019-07-23,13231.822360627482,12559.529,10846.153,14200.511
2019-07-24,12645.581000049244,11254.402,9327.34,13220.447
2019-07-25,13730.293241090478,12146.474,10131.284,13957.501
2019-07-26,12113.594692401017,11751.514,9747.024,13635.379
2019-07-27,10608.743979790795,8839.309,7016.575,11013.852
2019-07-28,7958.329273543842,8105.11,6225.816,10071.6875
2019-07-29,13396.808888190808,11641.496,9701.694,13422.333
2019-07-30,12456.104985807431,12472.013,10694.009,14190.608
2019-07-31,11935.27580729321,10958.354,9084.354,12892.627
2019-08-01,11009.28278797043,11887.974,10023.03,13670.548
2019-08-02,9658.739838220905,11461.601,9665.579,13348.821
2019-08-03,5064.970605677952,9015.234,7233.202,11045.582
2019-08-04,8227.276062003171,8023.059,6030.38,9857.391
2019-08-05,12008.684210424588,12166.019,10297.197,13929.414
2019-08-06,12037.80296697665,12498.869,10772.525,14040.357
2019-08-07,11885.610592846726,11749.409,9938.236,13397.808
2019-08-08,13831.43643858102,12005.841,10170.299,13614.199
2019-08-09,11909.69150540809,11458.168,9664.202,13198.598
2019-08-10,5669.62730262874,8092.8394,6353.538,9806.381
2019-08-11,9777.738290815892,8087.957,6257.1504,9759.492
2019-08-12,10913.626209732927,12009.692,10071.625,13670.483
2019-08-13,11501.648798749597,12310.562,10614.386,13944.335
2019-08-14,8604.958241486202,11770.551,9905.126,13490.646
2019-08-15,9985.019876175638,12146.127,10269.259,13842.313
2019-08-16,10507.681083303683,11201.384,9284.413,13109.082
2019-08-17,11182.34601465629,8493.261,6552.7456,10537.436
2019-08-18,9978.118690328529,8632.455,6664.7803,10692.348
2019-08-19,12604.234976337772,11757.725,9780.064,13591.923
2019-08-20,13461.452042727014,12256.539,10633.0625,13837.835
2019-08-21,10544.34638973426,10656.74,8827.082,12452.251
2019-08-22,9303.358493059251,11288.961,9339.803,13152.475
2019-08-23,10772.974850503771,11081.896,9048.81,13093.9
2019-08-24,8988.284903235926,9284.383,7159.796,11477.788
2019-08-25,7651.347399663316,8776.936,6674.4893,10992.03
2019-08-26,14768.114937858769,11977.755,10049.695,13717.871
2019-08-27,13203.14243099768,12995.864,11170.246,14718.003
2019-08-28,10263.599287377068,11311.628,9266.098,13387.227
2019-08-29,12820.064479707284,12219.461,10133.655,14130.132
2019-08-30,13504.155868715494,11755.9,9627.997,13781.89
2019-08-31,8817.359973497565,9273.975,7208.1333,11564.6455
2019-09-01,9749.966653389363,8984.031,6917.41,11242.857
2019-09-02,11388.454776574052,12032.391,10055.5205,13845.1
2019-09-03,11120.476143389336,11594.265,9934.5625,13215.151
2019-09-04,10353.773502358235,10556.185,8795.268,12302.485
2019-09-05,10869.287402681462,11589.016,9825.084,13242.741
2019-09-06,10007.4060694772,11482.623,9739.763,13233.87
2019-09-07,10339.55342362949,9459.051,7638.552,11447.264
2019-09-08,9594.460191877346,9207.486,7288.266,11168.574
2019-09-09,11586.315587668903,11924.984,10077.028,13597.85
2019-09-10,13234.162106370257,12202.602,10745.288,13689.148
2019-09-11,11513.875669421226,11313.102,9720.536,12992.261
2019-09-12,11321.84972601497,12146.981,10591.025,13644.086
2019-09-13,11814.724284584934,11978.546,10398.267,13534.073
2019-09-14,9928.27175816629,9545.543,7738.1377,11428.151
2019-09-15,9961.25210890292,8880.419,7008.0317,10851.777
2019-09-16,13661.880770122372,11772.863,10121.434,13364.552
2019-09-17,12977.130958632522,12718.186,11414.819,14005.716
2019-09-18,12624.682388609415,11060.068,9551.836,12540.942
2019-09-19,9902.840589862191,12200.754,10687.5205,13630.109
2019-09-20,11874.561315770014,11570.627,10007.76,13173.286
2019-09-21,8797.667998404988,9485.9,7748.078,11247.777
2019-09-22,7219.919431000297,9417.215,7616.454,11190.545
2019-09-23,10607.790546112634,12177.209,10483.959,13737.759
2019-09-24,11411.684899940388,11568.26,10032.49,13134.449
2019-09-25,9423.74783654793,10566.57,8945.388,12252.447
2019-09-26,11518.409460466824,11437.129,9784.706,13068.674
2019-09-27,11873.50549257336,11547.336,9848.75,13258.611
2019-09-28,9058.233644656151,9349.657,7562.54,11358.915
2019-09-29,10626.655298615724,8853.724,7013.974,10906.687
2019-09-30,12617.005143690792,11679.766,9919.518,13391.936
2019-10-01,11467.840342716932,12099.761,10480.486,13695.86
2019-10-02,10140.874057156114,10816.422,9099.613,12579.016
2019-10-03,12511.45679286676,11765.253,10050.782,13433.78
2019-10-04,12831.553776024752,11693.038,10022.03,13418.926
2019-10-05,11692.895285917337,10088.394,8337.109,11860.342
2019-10-06,9774.825854366056,9617.676,7808.0107,11433.977
2019-10-07,11788.383736415044,12377.425,10629.898,13998.984
2019-10-08,13015.846875944117,11695.815,10322.107,13186.972
2019-10-09,12226.314977080789,10483.302,8858.257,12155.897
2019-10-10,12393.248302965472,11678.878,10060.002,13302.207
2019-10-11,14369.420279212896,11847.979,10185.266,13532.97
2019-10-12,12801.30602548944,10335.8125,8514.786,12197.246
2019-10-13,14464.892907853293,10251.459,8417.386,12162.025
2019-10-14,12975.039878444892,12178.041,10397.476,13866.163
2019-10-15,13309.472435910962,12922.735,11404.764,14466.064
2019-10-16,11557.649641662818,11969.976,10247.399,13768.302
2019-10-17,10946.286305723415,12410.339,10642.336,14151.583
2019-10-18,12585.61256996721,12440.906,10704.108,14178.075
2019-10-19,10361.488572382168,11601.792,9809.729,13414.542
2019-10-20,9143.046883310672,11215.671,9363.887,13085.9
2019-10-21,12150.725648828413,12224.922,10473.432,14019.522
2019-10-22,12213.80312303564,12049.488,10659.181,13517.89
2019-10-23,8225.779905830399,10767.799,9249.879,12259.2
2019-10-24,11546.066954697448,11829.795,10265.089,13425.262
2019-10-25,11681.541714006033,12406.582,10790.017,13980.68
2019-10-26,11898.69137422192,11038.754,9346.161,12741.4795
2019-10-27,10152.72594352273,10450.05,8700.988,12182.865
2019-10-28,13972.93462889654,12483.679,10799.73,14079.324
2019-10-29,11703.183301126608,12851.861,11185.702,14550.737
2019-10-30,12883.852240245838,11631.076,9908.264,13515.15
2019-10-31,11816.179427926754,12466.609,10697.635,14185.768
2019-11-01,13711.733647210403,12481.458,10714.706,14271.257
2019-11-02,16469.377173490535,11207.862,9272.463,13170.844
2019-11-03,14340.760516118224,10766.916,8833.84,12736.22
2019-11-04,14618.32501433256,12706.705,10926.436,14449.745
2019-11-05,13714.535750141908,13551.471,11926.925,15239.242
