timestamp,ytrue,yhat
2019-01-01,26619.32016539989,26576.941
2019-01-02,25382.654001442446,24968.201
2019-01-03,25427.46129495749,26610.164
2019-01-04,25936.46273340925,25644.473
2019-01-05,22417.040980300397,23909.018
2019-01-06,24167.300682657657,22835.477
2019-01-07,21460.997594313085,23002.498
2019-01-08,21514.778523157005,21931.086
2019-01-09,20113.57196241097,20776.893
2019-01-10,20745.15844234161,21585.922
2019-01-11,19955.45868176021,20955.076
2019-01-12,22192.98983767387,20397.363
2019-01-13,19365.921296471817,19546.555
2019-01-14,21356.7824034655,20103.947
2019-01-15,20786.85770676348,19615.984
2019-01-16,18167.57522845464,17703.592
2019-01-17,20964.42401375079,18953.146
2019-01-18,19901.739643273788,18231.094
2019-01-19,18778.639923182425,16751.625
2019-01-20,18055.327151556183,15866.845
2019-01-21,21961.03351851168,17791.836
2019-01-22,16519.991365141486,17042.738
2019-01-23,17470.221204185767,15439.893
2019-01-24,17460.707038635537,16880.406
2019-01-25,19380.32631886633,16903.312
2019-01-26,18147.922895861167,16039.514
2019-01-27,17820.802894020362,15421.09
2019-01-28,17826.711461563897,17287.695
2019-01-29,19563.051642407285,16879.725
2019-01-30,17182.400383365497,15827.357
2019-01-31,17130.14738347412,16969.451
2019-02-01,19742.34201432157,17458.17
2019-02-02,16185.684338230762,17066.227
2019-02-03,17586.94530873367,16332.661
2019-02-04,15842.443922122657,17683.64
2019-02-05,15354.492359967096,17143.568
2019-02-06,13602.314600002452,15710.192
2019-02-07,15091.378757210125,17270.738
2019-02-08,15666.301423873643,17742.332
2019-02-09,16240.698298308447,16701.113
2019-02-10,14344.964223328005,15950.738
2019-02-11,16600.151675919653,17127.852
2019-02-12,16180.917017948626,16849.031
2019-02-13,13378.137336784845,15646.747
2019-02-14,12323.400834540716,18307.203
2019-02-15,14505.212736820393,18905.484
2019-02-16,12481.877208312831,18440.428
2019-02-17,10407.861863525295,16899.223
2019-02-18,13400.366878137293,18132.771
2019-02-19,13390.008256697198,17330.777
2019-02-20,11985.182275138894,15812.755
2019-02-21,12165.158381500103,16470.926
2019-02-22,14558.624590778349,16202.327
2019-02-23,13537.020373584195,15262.38
2019-02-24,13669.663713457436,13806.26
2019-02-25,12290.270990232752,15694.291
2019-02-26,12931.444416561044,15517.816
2019-02-27,10879.396327525772,14359.959
2019-02-28,14408.054754097364,15358.912
2019-03-01,15758.659982974155,15381.377
2019-03-02,18555.26459131256,14646.368
2019-03-03,19925.196610213134,13165.824
2019-03-04,18591.556974856263,15641.6875
2019-03-05,18390.88149755509,14662.847
2019-03-06,15689.746644024028,13266.064
2019-03-07,13833.09053512728,14348.575
2019-03-08,13516.056316134018,14138.736
2019-03-09,14703.6728826523,12914.306
2019-03-10,11599.69657225914,12188.553
2019-03-11,12237.012947142675,14127.295
2019-03-12,11880.968734033657,13477.049
2019-03-13,11257.81989626148,12498.827
2019-03-14,12564.722648991225,13967.819
2019-03-15,15918.851488214266,14185.231
2019-03-16,13350.84641331392,13269.868
2019-03-17,12277.082399014264,12449.193
2019-03-18,15368.434914056315,14303.265
2019-03-19,12503.743225318987,14046.881
2019-03-20,12944.891088739803,12738.297
2019-03-21,16033.079953288869,14169.391
2019-03-22,13765.350972049002,14822.176
2019-03-23,13011.45572676786,13868.594
2019-03-24,13738.818672824524,12422.097
2019-03-25,12226.34001505915,14354.052
2019-03-26,12134.884964215167,13849.497
2019-03-27,13377.62165708071,12970.674
2019-03-28,12510.988125918027,14474.536
2019-03-29,13614.624776542918,14578.978
2019-03-30,11798.136030693557,13217.467
2019-03-31,9174.80000026628,11801.248
2019-04-01,13065.911802839531,13945.54
2019-04-02,13505.032937598093,13387.692
2019-04-03,9651.443214740271,12739.862
2019-04-04,11526.784153014558,14498.794
2019-04-05,13590.57532880232,14619.942
2019-04-06,7542.09607592776,13402.199
2019-04-07,10055.477515967475,11800.06
2019-04-08,13040.67207889606,14115.503
2019-04-09,13643.93159508792,13954.952
2019-04-10,12335.783483047982,12803.26
2019-04-11,11827.029704990266,13739.421
2019-04-12,12455.444896280218,13730.347
2019-04-13,10763.276654352903,12413.507
2019-04-14,9915.616963162982,11631.046
2019-04-15,11785.813508826526,14001.966
2019-04-16,13243.295240944086,13617.874
2019-04-17,12378.54167035531,12556.862
2019-04-18,13512.9866509086,13848.138
2019-04-19,14710.6144242913,13794.487
2019-04-20,14023.86861167521,12511.945
2019-04-21,11034.268355805456,11746.031
2019-04-22,14339.605366745363,13800.115
2019-04-23,14681.77773896827,13448.974
2019-04-24,9869.650138444862,12230.547
2019-04-25,9946.090728783887,13337.54
2019-04-26,14176.654065265837,13568.849
2019-04-27,10941.31017358716,12180.667
2019-04-28,9697.276244486262,11472.986
2019-04-29,13227.968201090342,13405.768
2019-04-30,13920.773979230364,13213.086
2019-05-01,11372.344442248475,12118.358
2019-05-02,13747.233037844577,13510.476
2019-05-03,10881.921892329,13726.221
2019-05-04,9093.68975224752,12035.576
2019-05-05,10672.260687866392,11033.284
2019-05-06,9214.527417146615,12927.448
2019-05-07,12716.869070747618,12320.75
2019-05-08,13398.182952365838,11358.906
2019-05-09,13704.04715941716,13151.299
2019-05-10,12329.019324484829,13143.428
2019-05-11,11190.977315437818,11650.844
2019-05-12,6708.078811619779,10785.894
2019-05-13,10972.943369569814,12751.445
2019-05-14,10351.417609030916,12693.69
2019-05-15,9781.377780208924,12036.567
2019-05-16,10724.179952989036,12929.575
2019-05-17,12736.177634753714,12677.952
2019-05-18,8976.12940307743,11208.529
2019-05-19,8606.826127469058,10170.613
2019-05-20,13755.516402161247,12447.942
2019-05-21,11927.278192001237,12394.92
2019-05-22,13459.207319531026,11619.199
2019-05-23,12180.913497229176,13041.467
2019-05-24,12005.760493790149,12875.141
