timestamp,ytrue,yhat
2019-01-01,26619.32016539989,26352.945
2019-01-02,25382.654001442446,25374.355
2019-01-03,25427.46129495749,26505.23
2019-01-04,25936.46273340925,25611.191
2019-01-05,22417.040980300397,24384.752
2019-01-06,24167.300682657657,23360.004
2019-01-07,21460.997594313085,23522.008
2019-01-08,21514.778523157005,21111.602
2019-01-09,20113.57196241097,20766.758
2019-01-10,20745.15844234161,21299.734
2019-01-11,19955.45868176021,20563.797
2019-01-12,22192.98983767387,19632.719
2019-01-13,19365.921296471817,19448.854
2019-01-14,21356.7824034655,19579.762
2019-01-15,20786.85770676348,20500.389
2019-01-16,18167.57522845464,18680.021
2019-01-17,20964.42401375079,19404.953
2019-01-18,19901.739643273788,18920.568
2019-01-19,18778.639923182425,17945.623
2019-01-20,18055.327151556183,16907.89
2019-01-21,21961.03351851168,17965.373
2019-01-22,16519.991365141486,19432.816
2019-01-23,17470.221204185767,17822.19
2019-01-24,17460.707038635537,19758.049
2019-01-25,19380.32631886633,19210.395
2019-01-26,18147.922895861167,19221.234
2019-01-27,17820.802894020362,18012.098
2019-01-28,17826.711461563897,19144.148
2019-01-29,19563.051642407285,17530.822
2019-01-30,17182.400383365497,16560.635
2019-01-31,17130.14738347412,17543.557
2019-02-01,19742.34201432157,17677.314
2019-02-02,16185.684338230762,17516.96
2019-02-03,17586.94530873367,16728.648
2019-02-04,15842.443922122657,17834.125
2019-02-05,15354.492359967096,16489.322
2019-02-06,13602.314600002452,15522.7
2019-02-07,15091.378757210125,16985.312
2019-02-08,15666.301423873643,17606.582
2019-02-09,16240.698298308447,16776.926
2019-02-10,14344.964223328005,16063.096
2019-02-11,16600.151675919653,17062.246
2019-02-12,16180.917017948626,15868.455
2019-02-13,13378.137336784845,14839.093
2019-02-14,12323.400834540716,16390.756
2019-02-15,14505.212736820393,16112.896
2019-02-16,12481.877208312831,15689.701
2019-02-17,10407.861863525295,14603.589
2019-02-18,13400.366878137293,15343.109
2019-02-19,13390.008256697198,12744.227
2019-02-20,11985.182275138894,12005.2705
2019-02-21,12165.158381500103,13337.563
2019-02-22,14558.624590778349,13560.561
2019-02-23,13537.020373584195,12823.167
2019-02-24,13669.663713457436,12042.518
2019-02-25,12290.270990232752,13254.824
2019-02-26,12931.444416561044,12615.13
2019-02-27,10879.396327525772,11991.703
2019-02-28,14408.054754097364,12714.248
2019-03-01,15758.659982974155,13446.179
2019-03-02,18555.26459131256,13008.586
2019-03-03,19925.196610213134,12122.253
2019-03-04,18591.556974856263,13314.0205
2019-03-05,18390.88149755509,17228.639
2019-03-06,15689.746644024028,13630.375
2019-03-07,13833.09053512728,13387.054
2019-03-08,13516.056316134018,13279.607
2019-03-09,14703.6728826523,12696.686
2019-03-10,11599.69657225914,12546.324
2019-03-11,12237.012947142675,13086.542
2019-03-12,11880.968734033657,12112.438
2019-03-13,11257.81989626148,10962.366
2019-03-14,12564.722648991225,12708.955
2019-03-15,15918.851488214266,13257.538
2019-03-16,13350.84641331392,13121.122
2019-03-17,12277.082399014264,12007.01
2019-03-18,15368.434914056315,12859.826
2019-03-19,12503.743225318987,13599.185
2019-03-20,12944.891088739803,12201.749
2019-03-21,16033.079953288869,13628.442
2019-03-22,13765.350972049002,14104.123
2019-03-23,13011.45572676786,13493.535
2019-03-24,13738.818672824524,12384.727
2019-03-25,12226.34001505915,13347.679
2019-03-26,12134.884964215167,12964.975
2019-03-27,13377.62165708071,12152.612
2019-03-28,12510.988125918027,13304.465
