timestamp,ytrue,yhat
2019-01-01,26619.32016539989,22608.637
2019-01-02,25382.654001442446,23680.193
2019-01-03,25427.46129495749,21960.748
2019-01-04,25936.46273340925,21457.182
2019-01-05,22417.040980300397,19055.244
2019-01-06,24167.300682657657,18454.426
2019-01-07,21460.997594313085,18782.19
2019-01-08,21514.778523157005,26416.908
2019-01-09,20113.57196241097,24117.348
2019-01-10,20745.15844234161,19073.203
2019-01-11,19955.45868176021,19303.87
2019-01-12,22192.98983767387,19212.354
2019-01-13,19365.921296471817,19175.572
2019-01-14,21356.7824034655,20501.37
2019-01-15,20786.85770676348,24023.412
2019-01-16,18167.57522845464,23757.023
2019-01-17,20964.42401375079,21922.12
2019-01-18,19901.739643273788,23551.545
2019-01-19,18778.639923182425,19030.22
2019-01-20,18055.327151556183,20713.93
2019-01-21,21961.03351851168,21658.475
2019-01-22,16519.991365141486,25120.328
2019-01-23,17470.221204185767,25661.72
2019-01-24,17460.707038635537,22752.836
2019-01-25,19380.32631886633,20477.842
2019-01-26,18147.922895861167,19915.87
2019-01-27,17820.802894020362,18378.234
2019-01-28,17826.711461563897,21110.152
2019-01-29,19563.051642407285,23842.133
2019-01-30,17182.400383365497,23759.793
2019-01-31,17130.14738347412,22153.623
2019-02-01,19742.34201432157,21251.2
2019-02-02,16185.684338230762,22281.09
2019-02-03,17586.94530873367,20964.977
2019-02-04,15842.443922122657,20442.25
2019-02-05,15354.492359967096,19131.602
2019-02-06,13602.314600002452,20214.63
2019-02-07,15091.378757210125,20283.28
2019-02-08,15666.301423873643,21803.43
2019-02-09,16240.698298308447,22929.72
2019-02-10,14344.964223328005,21630.365
2019-02-11,16600.151675919653,19193.229
2019-02-12,16180.917017948626,15781.883
2019-02-13,13378.137336784845,15704.473
2019-02-14,12323.400834540716,16819.727
2019-02-15,14505.212736820393,19097.445
2019-02-16,12481.877208312831,19895.846
2019-02-17,10407.861863525295,21093.115
2019-02-18,13400.366878137293,21646.992
2019-02-19,13390.008256697198,17169.828
2019-02-20,11985.182275138894,17647.053
2019-02-21,12165.158381500103,19070.117
2019-02-22,14558.624590778349,19735.38
2019-02-23,13537.020373584195,20420.479
2019-02-24,13669.663713457436,18842.24
2019-02-25,12290.270990232752,19705.584
2019-02-26,12931.444416561044,13963.393
2019-02-27,10879.396327525772,15454.074
2019-02-28,14408.054754097364,15738.938
2019-03-01,15758.659982974155,18771.943
2019-03-02,18555.26459131256,18674.883
2019-03-03,19925.196610213134,19065.66
2019-03-04,18591.556974856263,19438.94
2019-03-05,18390.88149755509,12744.684
2019-03-06,15689.746644024028,12935.826
2019-03-07,13833.09053512728,12935.554
2019-03-08,13516.056316134018,13663.398
2019-03-09,14703.6728826523,14373.2
2019-03-10,11599.69657225914,14921.535
2019-03-11,12237.012947142675,15294.009
2019-03-12,11880.968734033657,18582.117
2019-03-13,11257.81989626148,18981.969
2019-03-14,12564.722648991225,19868.703
2019-03-15,15918.851488214266,20247.938
2019-03-16,13350.84641331392,20716.268
2019-03-17,12277.082399014264,20337.943
2019-03-18,15368.434914056315,21016.564
2019-03-19,12503.743225318987,12502.515
2019-03-20,12944.891088739803,13334.554
2019-03-21,16033.079953288869,13745.031
2019-03-22,13765.350972049002,14617.407
2019-03-23,13011.45572676786,15473.433
2019-03-24,13738.818672824524,15867.135
2019-03-25,12226.34001505915,16892.65
2019-03-26,12134.884964215167,15709.256
2019-03-27,13377.62165708071,16287.762
2019-03-28,12510.988125918027,17385.906
2019-03-29,13614.624776542918,18443.068
2019-03-30,11798.136030693557,18778.262
2019-03-31,9174.80000026628,19934.52
2019-04-01,13065.911802839531,20662.977
2019-04-02,13505.032937598093,12953.089
2019-04-03,9651.443214740271,13738.058
2019-04-04,11526.784153014558,15006.03
2019-04-05,13590.57532880232,15980.125
2019-04-06,7542.09607592776,18638.455
2019-04-07,10055.477515967475,19392.871
2019-04-08,13040.67207889606,19873.65
2019-04-09,13643.93159508792,13645.589
2019-04-10,12335.783483047982,14200.055
2019-04-11,11827.029704990266,15430.553
2019-04-12,12455.444896280218,16830.826
